Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Glucometro_v2_project.PrjPCB|ReportField=ProjectFullPath~C:\Users\Daniel\Documents\Documents Universitat\TFG\1 Circuit Analogic\PCB\Glucometro_v2_project.PrjPCB|ReportField=Title~Bill of Materials For Project [Glucometro_v2_project.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~23:48:47|ReportField=ReportDate~22/05/2019|ReportField=ReportDateTime~22/05/2019 23:48:47|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~17|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~22/05/2019|ReportField=CurrentTime~23:48:37|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Daniel\Documents\Documents Universitat\TFG\1 Circuit Analogic\PCB\Glucometro_v2_schematic.SchDoc|ReportField=DocumentName~Glucometro_v2_schematic.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~10/05/2019|ReportField=Organization~|ReportField=ProjectName~Glucometro_v2_project.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Glucometro_v2_project.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Daniel\Documents\Documents Universitat\TFG\1 Circuit Analogic\PCB\Glucometro_v2_project.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Cap Modified|Capacitor|C1|CAP_EDITED|Cap|1
2|Cap|Capacitor|C2, C3|CAP_ALIM_EDITED|Cap|2
3|Diode|Resistor|D1|AXIAL-0.3|Res1|1
4|Header 2 Modified|Header, 2-Pin|P1|Header2_edited|Header 2|1
5|Tensión salida|Header, 2-Pin|P2|Header2_edited|Header 2|1
6|Conector tira reactiva|Header, 3-Pin|P3|HEADER3_EDITED|Header 3|1
7|Header 3 Modified|Header, 3-Pin|P6|HEADER3_EDITED|Header 3|1
8|Header 6|Header, 6-Pin|PBluetooth|HEADERBLUETOOTH|Header 6|1
9|Res1|Resistor|R1, R2, R3, R4, R5, R6|AXIAL-0.3|Res1|6
10|SW-PB|Switch|S1|BUTTON|Button|1
11|LT1014CN|Quad Channel, Precision Single Supply Operational Amplifier, 0.8 MHz Typical GBW, 0.4 V/us Typical SR, 4 to 44 V, 14-Pin DIP (N-14), Commerical|U1|LT-N-14|LT1014CN|1
